pos	count	bq.mean	bq.sd
538	7	18.1429	3.02372
539	7	19.5714	4.23703
540	7	18.4286	5.94018
541	7	17	2.08167
542	7	16.7143	1.97605
543	6	16.6667	4.88535
544	6	20	3.63318
545	6	16.5	5.54076
546	5	18.4	4.97996
547	5	14.4	4.44972
548	4	17.5	3.10913
549	4	15.75	0.957427
550	4	15.75	0.957427
551	3	15.3333	0.57735
552	3	13	3.4641
553	3	13	3.4641
554	2	21	8.48528
555	2	15.5	0.707107
556	2	15.5	0.707107
557	2	18	4.24264
558	2	15.5	0.707107
559	2	15.5	0.707107
560	1	15	-nan
561	1	15	-nan
562	1	16	-nan
563	1	24	-nan
564	1	9	-nan
565	1	15	-nan
